@RELATION NASA-USERS-CATEGORY

@ATTRIBUTE operations {small,medium,large}
@ATTRIBUTE session-time {short,average,long}
@ATTRIBUTE average-time {small,medium,large}

@DATA
small,long,large
small,short,small
small,average,large
small,average,medium
small,short,small
small,short,medium
small,long,large
small,short,small
small,average,large
small,long,large
small,average,small
small,average,large
small,short,small
small,average,medium
small,short,small
small,long,large
small,short,small
medium,long,medium
small,short,small
small,short,large
small,short,medium
small,long,large
small,short,small
small,short,small
small,short,medium
small,short,medium
small,short,small
small,short,small
small,long,large
small,long,large
small,short,small
small,short,large
small,short,large
small,short,medium
small,short,small
small,average,large
small,long,large
small,average,large
small,long,medium
small,short,medium
small,short,medium
small,short,medium
small,average,large
medium,average,small
small,short,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,average,medium
small,average,large
small,short,medium
small,long,large
small,average,small
small,average,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,large
small,short,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,large
small,short,small
small,short,large
small,average,large
small,short,medium
small,long,large
small,average,medium
small,short,small
small,short,medium
small,short,large
small,long,large
small,average,large
small,short,small
small,short,small
small,average,large
small,long,large
small,short,small
small,short,large
small,short,small
small,average,large
small,long,large
small,short,small
small,short,small
small,short,medium
small,short,medium
small,short,medium
small,average,medium
small,short,medium
small,average,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,short,large
small,short,small
small,short,small
small,short,small
small,average,medium
small,long,large
small,short,medium
small,short,medium
small,short,small
small,short,small
small,short,small
small,long,large
medium,long,medium
small,short,medium
small,average,medium
medium,long,medium
small,long,large
small,short,small
small,short,large
small,short,medium
small,short,medium
small,average,large
small,short,small
small,average,large
small,short,large
small,average,large
small,short,small
small,short,small
small,long,large
small,average,large
small,average,medium
small,short,small
small,average,large
small,short,small
small,short,medium
small,average,large
small,short,small
small,short,small
small,long,large
small,short,medium
small,short,medium
small,short,large
small,short,medium
small,average,large
small,long,large
small,short,large
small,long,large
small,short,small
small,average,large
small,short,small
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,medium
small,long,large
small,average,large
small,average,medium
small,short,medium
small,short,small
small,short,small
small,average,large
small,average,large
small,short,small
small,short,small
small,short,small
small,long,large
small,short,small
small,average,medium
small,average,large
small,short,small
small,short,small
small,average,medium
small,short,medium
small,long,large
small,average,large
small,average,large
small,short,medium
small,short,small
small,short,small
small,average,large
small,average,medium
small,average,large
small,long,large
small,long,large
small,long,large
small,average,large
small,average,large
small,short,small
small,average,large
small,average,large
small,short,small
small,short,small
small,average,large
small,short,small
small,short,small
small,long,large
small,short,medium
small,long,large
small,short,medium
small,short,small
small,long,large
small,average,medium
small,short,medium
small,short,small
small,average,medium
small,short,small
small,short,small
small,long,large
small,short,small
small,short,medium
small,long,large
small,short,small
small,short,small
small,short,small
medium,long,medium
small,average,large
small,average,large
small,short,medium
small,short,small
small,short,large
small,short,large
small,short,small
small,short,small
small,long,large
small,short,large
small,short,medium
small,short,medium
small,short,small
small,short,medium
small,average,large
small,average,large
small,short,small
small,average,large
small,short,medium
small,long,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,large
small,long,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,average,medium
small,short,small
small,average,medium
small,short,small
small,long,large
small,long,large
small,short,small
small,average,medium
small,short,small
small,short,small
small,long,large
small,average,small
small,short,medium
small,long,large
small,short,small
small,short,medium
small,long,large
small,short,medium
small,short,small
small,short,small
small,average,medium
large,long,small
medium,long,medium
small,average,large
small,short,small
small,short,small
small,short,small
small,long,large
small,short,large
small,short,medium
medium,long,medium
medium,long,medium
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,average,medium
small,average,medium
small,short,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,average,small
small,long,large
small,short,small
small,short,small
small,average,medium
small,short,small
small,short,small
small,average,large
small,average,large
small,short,medium
small,average,large
small,short,small
small,average,large
medium,long,medium
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,small
small,short,medium
small,short,small
small,long,large
small,short,small
small,short,small
small,short,medium
small,long,large
small,short,small
small,short,medium
small,long,large
small,short,small
small,short,small
large,average,small
small,short,small
small,long,large
small,short,small
small,average,large
small,short,medium
small,short,small
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,small
small,average,small
small,long,large
small,short,medium
small,short,small
small,average,medium
small,short,small
large,average,small
small,short,small
small,short,small
small,average,large
small,short,medium
small,average,large
small,short,small
small,short,medium
small,short,medium
small,average,large
small,short,medium
small,short,small
small,short,small
medium,long,medium
small,short,medium
small,short,medium
small,average,large
small,short,large
small,short,small
small,long,large
small,short,small
medium,long,medium
small,average,medium
small,short,medium
small,average,large
small,short,small
small,long,large
small,short,small
small,short,small
small,long,large
small,long,large
small,average,large
small,short,small
small,short,small
small,average,large
small,short,small
small,long,large
small,short,small
small,average,large
small,short,small
small,average,medium
small,short,small
small,short,small
small,average,medium
small,short,small
medium,long,medium
medium,long,medium
small,average,large
small,short,small
small,long,large
small,long,large
small,short,small
medium,long,medium
medium,average,small
small,short,small
small,short,small
small,short,small
small,long,large
small,average,large
small,short,medium
small,average,large
small,short,small
small,short,small
small,short,small
small,long,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
small,long,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,long,large
small,short,small
small,long,large
small,short,small
small,short,medium
small,average,large
small,short,small
small,long,large
small,average,large
small,short,small
small,average,medium
small,long,large
small,short,medium
small,long,large
small,short,medium
small,short,medium
small,short,medium
small,long,large
small,short,small
small,average,large
small,short,small
small,long,large
small,short,small
small,short,medium
small,average,medium
small,short,small
small,short,small
small,average,large
medium,short,small
small,short,small
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,small
small,average,large
small,short,medium
small,short,medium
small,short,small
medium,long,medium
small,short,medium
small,average,large
small,short,small
small,short,small
small,short,medium
small,average,large
small,average,medium
small,average,large
small,average,large
small,average,large
small,short,small
small,long,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
small,short,small
small,long,large
small,short,small
small,short,large
small,short,small
small,short,small
small,short,small
small,long,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,medium
small,short,small
small,short,small
small,short,medium
small,long,large
small,average,large
small,long,large
small,average,large
small,long,large
small,short,small
small,short,medium
small,long,large
small,short,small
small,short,small
small,short,small
small,average,large
small,long,large
small,short,small
small,long,large
small,short,small
small,short,medium
small,short,small
small,short,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,average,medium
small,long,large
small,average,large
small,long,large
small,average,medium
small,short,small
small,short,large
small,short,small
small,average,large
small,short,small
small,short,medium
small,short,medium
small,average,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,average,small
small,short,small
small,short,medium
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,small
small,average,medium
small,short,small
small,short,small
small,long,large
small,long,large
small,short,small
small,long,large
small,long,large
small,short,medium
small,average,small
small,average,large
small,short,small
small,short,medium
small,short,small
small,short,small
small,short,small
small,average,medium
small,short,large
small,short,small
small,average,medium
small,short,small
small,short,small
small,long,large
small,short,small
small,short,large
small,average,large
small,short,medium
small,short,small
small,short,medium
small,short,small
small,average,medium
small,average,medium
small,short,small
small,long,large
small,short,small
small,short,small
small,short,medium
small,short,small
small,average,medium
small,short,medium
small,short,small
small,short,small
small,short,medium
small,long,large
small,long,large
medium,average,small
small,short,small
small,short,small
small,short,small
small,long,large
small,average,medium
small,short,medium
small,average,large
small,long,large
medium,long,medium
small,short,medium
small,short,small
small,short,small
small,average,medium
small,short,medium
small,average,medium
small,short,small
small,average,medium
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,medium
small,short,small
medium,long,medium
small,long,medium
small,long,large
small,short,small
small,average,large
small,short,small
small,short,medium
small,short,medium
medium,average,small
small,short,small
small,average,large
small,long,large
small,long,medium
small,long,large
small,short,small
small,average,medium
small,short,medium
small,short,small
small,average,medium
medium,long,medium
small,short,small
small,average,medium
small,short,small
small,short,small
small,average,large
small,average,large
small,short,small
small,short,small
small,short,large
small,short,medium
small,short,small
small,short,medium
small,short,large
small,long,large
small,short,small
small,short,medium
small,short,small
small,short,small
small,short,small
small,long,large
small,short,medium
small,short,small
small,short,medium
small,long,large
small,average,large
small,short,small
small,long,medium
small,short,small
small,short,medium
small,short,small
small,long,large
small,short,medium
small,long,large
small,short,medium
medium,long,medium
small,average,small
small,average,medium
small,short,small
small,short,medium
small,short,medium
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,medium
small,long,large
small,short,small
small,short,medium
small,short,small
small,short,medium
medium,average,medium
small,short,medium
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,large
small,short,small
small,short,small
small,average,large
small,short,large
small,average,large
small,short,small
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,medium
medium,average,small
small,average,large
small,long,large
small,short,medium
small,short,small
medium,long,medium
small,short,medium
small,short,small
small,short,small
small,average,medium
small,short,small
small,average,large
small,short,small
small,average,large
small,long,large
small,short,medium
small,short,small
small,short,medium
small,short,small
small,short,large
small,short,small
small,short,medium
small,short,small
large,long,small
medium,long,medium
small,short,small
small,long,large
small,average,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,average,medium
small,average,large
small,short,small
small,short,small
small,long,large
small,short,small
small,short,small
medium,long,medium
medium,long,medium
small,short,small
small,long,large
small,short,medium
medium,long,medium
small,short,small
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,small
small,long,large
small,short,small
small,short,medium
small,long,large
small,average,large
small,short,small
small,long,large
small,long,large
small,short,small
small,short,medium
small,short,small
small,average,medium
small,average,large
medium,average,medium
medium,long,medium
small,long,large
small,short,small
small,short,medium
small,short,small
small,short,medium
small,short,small
small,average,large
small,long,large
small,long,large
small,long,large
small,average,large
small,short,small
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,small
small,long,large
small,short,large
small,short,medium
small,average,large
small,short,medium
small,short,small
small,average,large
small,short,small
small,short,large
small,short,small
small,average,medium
small,average,large
small,short,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,medium
small,average,large
small,short,small
small,long,large
small,short,medium
small,average,large
small,average,medium
small,short,small
small,average,large
small,short,small
large,long,small
small,short,small
small,short,medium
small,long,large
small,short,small
small,long,large
small,short,medium
small,short,small
small,short,small
small,long,large
small,average,large
small,long,large
small,short,medium
small,average,large
medium,long,medium
small,short,medium
small,short,small
small,short,small
small,average,small
small,long,large
small,short,small
small,short,small
small,long,large
small,short,large
small,short,small
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,medium
small,short,small
small,long,large
small,short,small
small,short,medium
small,average,large
small,short,small
small,short,small
small,average,large
small,long,large
small,long,large
small,average,large
small,short,small
small,short,medium
small,short,small
small,average,large
small,long,large
small,short,medium
small,short,small
small,short,small
small,average,large
small,short,medium
small,average,large
small,average,large
small,short,small
small,average,large
small,long,large
small,short,small
small,average,large
small,average,large
small,average,large
small,average,large
small,short,medium
small,short,small
small,long,large
small,average,large
small,long,large
small,short,medium
small,short,small
small,short,small
small,short,medium
small,short,medium
small,short,small
small,short,small
small,short,medium
small,average,medium
small,long,large
medium,average,small
small,long,large
small,average,large
small,short,small
small,average,medium
small,short,small
small,short,small
small,average,large
small,short,medium
small,short,small
small,short,small
small,long,large
small,short,small
small,short,small
small,short,medium
small,average,large
small,short,small
small,short,small
small,short,large
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
small,short,large
small,average,medium
small,average,large
small,short,small
medium,average,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,average,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,small
small,long,large
small,short,medium
small,average,large
small,long,large
small,long,medium
small,short,large
small,average,small
small,short,small
small,average,large
small,short,small
small,short,small
medium,average,small
small,short,small
small,short,small
small,short,small
small,short,small
small,average,small
small,short,large
small,short,small
small,short,medium
small,long,large
small,short,large
small,average,large
small,short,small
small,long,large
small,short,small
small,long,large
small,short,small
small,short,small
small,short,large
small,long,large
small,short,small
small,short,medium
small,short,large
small,short,large
small,long,large
small,short,medium
small,short,large
small,average,large
small,short,small
small,short,medium
small,average,large
small,average,large
small,average,large
small,long,large
small,average,large
small,average,large
small,long,large
small,average,large
small,short,large
small,average,small
small,short,small
small,short,medium
small,short,small
small,short,small
small,average,large
small,short,small
small,short,small
small,short,small
small,long,large
small,long,large
small,short,large
small,long,large
small,short,large
small,long,large
small,average,large
small,short,medium
small,long,large
small,short,small
small,average,large
small,short,large
small,short,medium
small,average,medium
medium,long,medium
medium,long,medium
small,short,small
small,average,large
small,average,large
small,average,large
small,long,large
small,short,medium
small,short,large
small,short,large
small,average,large
small,average,large
small,short,large
small,average,large
small,average,large
small,short,medium
small,short,large
small,short,small
small,short,medium
small,long,large
small,average,large
small,average,large
small,average,large
small,average,large
small,average,large
small,short,small
small,average,large
small,short,small
small,long,large
small,long,large
small,long,large
small,average,large
small,long,large
small,long,large
small,short,small
small,long,large
small,average,large
small,short,medium
small,short,medium
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,long,large
small,short,medium
small,average,large
small,average,large
small,long,large
small,short,large
small,average,large
small,short,small
small,short,large
small,long,large
small,short,large
small,average,large
small,short,large
small,short,large
small,long,large
small,short,medium
small,long,large
small,long,large
small,average,large
small,long,large
small,short,medium
small,average,large
small,short,medium
small,short,small
small,short,large
small,average,large
small,long,large
small,average,large
small,average,large
small,long,large
small,short,medium
small,short,medium
small,short,small
small,short,large
small,long,large
small,long,large
small,short,large
small,average,large
small,average,large
small,short,large
small,long,large
small,short,medium
small,short,small
small,short,small
small,short,medium
small,long,large
small,average,large
small,short,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,medium
small,long,large
small,average,large
small,short,small
small,short,large
small,average,large
small,long,large
small,short,small
small,short,small
small,average,large
small,short,medium
small,long,large
small,short,small
small,short,small
small,average,medium
small,long,large
small,short,large
small,average,large
small,average,medium
medium,short,small
small,short,small
small,short,medium
small,short,small
small,short,medium
small,long,large
small,long,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,long,large
medium,long,medium
small,average,large
small,short,small
small,short,small
small,average,large
small,short,medium
small,short,medium
small,short,small
medium,long,medium
small,short,medium
small,short,medium
small,short,small
small,short,small
small,short,small
small,average,large
small,average,large
small,short,small
small,short,medium
small,average,large
small,long,large
small,short,small
small,average,large
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,large
small,short,medium
small,short,small
small,long,large
small,average,large
small,short,small
small,average,large
small,short,large
small,average,large
small,short,small
small,average,medium
medium,long,medium
small,average,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,small
small,short,large
small,average,large
small,average,large
small,short,large
small,short,large
small,short,small
small,short,small
small,short,small
small,short,small
small,short,large
small,short,small
small,average,large
medium,average,small
medium,long,medium
small,average,small
small,short,medium
small,short,small
medium,long,medium
small,short,small
small,long,large
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,medium
small,short,small
small,short,small
small,short,medium
small,average,medium
small,average,medium
small,short,medium
small,short,medium
small,short,small
small,short,medium
small,short,small
small,short,small
small,long,large
small,short,medium
small,short,medium
small,long,large
small,short,medium
small,average,medium
small,average,medium
small,short,small
small,average,large
small,average,medium
small,long,large
small,average,large
small,short,small
small,short,small
small,average,medium
small,average,medium
small,long,large
small,long,large
small,short,large
small,short,small
small,short,medium
small,long,large
small,long,large
small,short,medium
small,average,large
small,average,large
small,short,large
small,long,large
small,short,medium
small,long,large
small,average,large
small,average,large
small,average,large
small,short,medium
small,short,large
small,short,large
small,short,small
small,short,medium
small,short,small
small,average,large
small,short,large
small,short,medium
small,short,medium
small,short,medium
small,short,small
small,short,small
small,long,large
medium,long,large
small,short,small
small,average,medium
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
small,long,large
small,average,medium
small,short,small
small,short,large
small,long,large
small,long,large
small,long,large
small,average,large
small,short,medium
small,average,large
small,long,medium
small,short,medium
small,average,medium
medium,long,medium
small,short,small
medium,average,small
small,short,medium
small,short,small
small,short,large
small,short,small
small,average,medium
small,short,small
small,short,medium
small,short,small
small,short,small
small,average,large
small,average,small
small,short,medium
small,short,small
small,short,small
small,long,large
small,long,large
small,short,small
small,long,large
small,short,small
small,short,medium
small,short,small
small,average,medium
small,short,medium
small,short,medium
small,short,small
small,short,medium
medium,long,medium
small,short,medium
small,long,large
small,short,large
small,short,small
medium,long,medium
small,short,large
small,short,small
small,long,large
small,short,medium
small,short,small
small,short,large
small,short,small
small,short,medium
small,average,small
small,average,large
small,short,large
small,long,large
small,short,large
small,short,small
small,average,large
small,short,medium
small,long,large
small,average,large
small,long,large
small,average,large
small,short,small
small,short,small
small,short,small
small,short,medium
medium,average,medium
small,short,small
small,average,large
small,long,large
small,long,large
small,long,large
small,long,large
small,long,large
small,average,medium
small,short,medium
small,long,large
small,short,medium
small,short,medium
small,short,small
small,short,small
small,average,large
small,short,large
small,average,large
small,average,large
small,average,large
small,short,small
small,long,large
small,short,small
small,long,large
small,average,medium
small,short,medium
small,average,large
small,short,medium
small,short,small
small,short,small
small,short,medium
small,short,small
small,short,small
small,short,small
small,long,large
small,long,large
small,short,medium
small,average,medium
small,average,large
small,short,medium
small,short,small
small,short,small
small,average,large
small,short,medium
small,short,small
small,short,small
small,short,small
small,average,large
small,short,small
medium,average,medium
